"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Saudi Arabia,"836,878",+436,"9,635                                ",,"822,191",+404,"5,052",76,"23,347",269,"45,345,872","1,265,058","35,844,909 ",Asia,43,"3,720",1,12,,141
Azerbaijan,"830,367",+7,"10,197                                ",,"819,670",+10,500,,"80,617",990,"7,569,059","734,845","10,300,205 ",Asia,12,"1,010",1,0.7,,49
Paraguay,"808,943",,"19,902                                ",,N/A,N/A,N/A,7,"110,725","2,724","2,657,506","363,751","7,305,843 ",South America,9,367,3,,,"12,418"
Bahrain,"718,152",+177,"1,559                                ",,"715,916",+145,677,2,"402,555",874,"10,807,272","6,057,946","1,783,983 ",Asia,2,"1,144",0,99,,379
Sri Lanka,"672,092",+3,"16,835                                ",+1,"655,244",+3,13,,"31,150",780,"6,486,117","300,619","21,575,842 ",Asia,32,"1,282",3,0.1,0.05,0.6
Kuwait,"665,386",,"2,570                                ",,"660,237",,"2,579",,"151,903",587,"8,455,743","1,930,391","4,380,326 ",Asia,7,"1,704",1,,,589
Dominican Republic,"660,937",,"4,384                                ",,"644,785",,"11,768",4,"59,779",397,"3,740,928","338,350","11,056,370 ",North America,17,"2,522",3,,,"1,064"
Cyprus,"656,904",,"1,350                                ",,"652,317",,"3,237",60,"536,955","1,103","9,640,118","7,879,860","1,223,387 ",Asia,2,906,0,,,"2,646"
Myanmar,"634,101",+3,"19,490                                ",,"614,596",,15,,"11,482",353,"10,209,321","184,861","55,227,143 ",Asia,87,"2,834",5,0.05,,0.3
Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,9,989,2,,,30
Moldova,"618,827",,"12,086                                ",,"504,142",,"102,599",49,"154,199","3,012","3,216,305","801,437","4,013,171 ",Europe,6,332,1,,,"25,566"
Estonia,"616,829",,"2,971                                ",,"524,990",,"88,868",3,"466,620","2,248","3,693,746","2,794,249","1,321,910 ",Europe,2,445,0,,,"67,227"
Venezuela,"552,480",,"5,856                                ",,"546,341",,283,31,"18,877",200,"3,359,014","114,771","29,266,991 ",South America,53,"4,998",9,,,10
Egypt,"515,882",,"24,613                                ",,"442,182",,"49,087",122,"4,860",232,"3,693,367","34,792","106,156,692 ",Africa,206,"4,313",29,,,462
Libya,"507,229",,"6,437                                ",,"500,769",,23,,"72,042",914,"2,483,848","352,782","7,040,745 ",Africa,14,"1,094",3,,,3
Qatar,"502,992",+556,689                                ,,"500,792",+322,"1,511",44,"168,794",231,"4,065,369","1,364,257","2,979,915 ",Asia,6,"4,325",1,187,,507
Ethiopia,"500,731",+17,"7,573                                ",,"487,720",,"5,438",1,"4,145",63,"5,528,099","45,758","120,812,698 ",Africa,241,"15,953",22,0.1,,45
Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,2,986,1,,,"73,888"
Honduras,"472,485",+18,"11,111                                ",,N/A,N/A,N/A,105,"46,226","1,087","1,650,345","161,462","10,221,247 ",North America,22,920,6,2,,"32,171"
Armenia,"448,458",,"8,743                                ",,"435,162",,"4,553",,"150,896","2,942","3,242,901","1,091,164","2,971,966 ",Asia,7,340,1,,,"1,532"
Bosnia and Herzegovina,"402,573",,"16,325                                ",,"379,084",,"7,164",,"123,895","5,024","1,884,721","580,036","3,249,317 ",Europe,8,199,2,,,"2,205"
Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,13,"1,150",0,,,"1,907"
North Macedonia,"347,672",,"9,667                                ",,"337,068",,937,,"167,045","4,645","2,226,216","1,069,626","2,081,304 ",Europe,6,215,1,,,450
Zambia,"343,753",,"4,058                                ",,"339,530",,165,,"17,655",208,"4,000,548","205,470","19,470,234 ",Africa,57,"4,798",5,,,8
